761350846844170240|20160804195921|@InfoStrat|Thanks to all who attended our webinar on Microsoft Dynamics Field Service today|v=6.2,a=4.08,d=5.84,hit=1,key=field
761350247264030721|20160804195658|@ChristiansenJe3|Microsoft replaced its toy gun emoji with a real revolver|v=4.98,a=6.04,d=4.85,hit=3,key=toy-gun-revolver
761350146684661760|20160804195634|@NicoleJ63051389|Test4pass microsoft proof 70-243 trial depression rally questions 4shared: WQJm|v=1.85,a=4.54,d=2.91,hit=1,key=depression
761349938072522752|20160804195545|@piddIepie|apple is neutral good. . microsoft is chaotic evil|v=3.23,a=6.39,d=5.25,hit=1,key=evil
761349683461496832|20160804195444|@resing|Just used Microsoft Forms to survey my summer league basketball team. Loved it! Great in-browser experience, charts + integration w/Excel|v=8.64,a=6.38,d=6.62,hit=1,key=loved
761349664180318208|20160804195439|@JackNags|apple replaces their gun emoji with a toy gun and microsoft replaces their toy gun with a revolver. lol|v=5.06,a=6.44,d=4.8,hit=5,key=gun-toy-gun-toy-gun
761349359271305216|20160804195327|@needlemilton|@Microsoft talk of #Leader is hard cause the people don't like depend of someone they wanna be independent, @BillGates was smart with that|v=6.31,a=5.54,d=5.84,hit=2,key=hard-people
761348810815569921|20160804195116|@righteousaxe|@shiruken Point is Apple just announced changing their actual pistol to a water gun, next day Microsoft do dis @swiftonsecurity|v=5.63,a=5.6,d=5.07,hit=2,key=pistol-water
761348793019146240|20160804195112|@pcMediaNZ|Having issues updating Windows 10 Education to Anniversary edition & getting an error starting 0xA. Known bug which Microsoft are working on|v=6.69,a=5.74,d=6.15,hit=1,key=education
761348644742139904|20160804195036|@StFual|@Microsoft privacy terms  "We can do whatever we want if we feel threatened", pretty sure it's the decision tree for Skynet. #cortanasucks|v=6.72,a=4.5,d=5.44,hit=3,key=privacy-pretty-tree
761348492967149568|20160804195000|@LyftCreditCodes|Fifty bucks in free rides Microsoft fans. Lyft credit code CHIC gives $50 in free rides to top uber promo. Its rocking.|v=8.26,a=5.15,d=6.35,hit=2,key=free-free
761348323601158144|20160804194920|@tedreally|@Microsoft . Hundreds of people have written to you asking for help with this. Windows 10 mail and accounts don't play well together.|v=7.11,a=5.79,d=5.89,hit=2,key=people-mail
761348305150435328|20160804194915|@1DaliaDrake|@__taki lmao Microsoft word. Your ignorance is a bliss. Keep the 9-5 and the hoe in too. You going need it. Puta la que te pario, Zora|v=3.07,a=4.39,d=4.41,hit=1,key=ignorance
761348242252632064|20160804194900|@LyftCreditCodes|$50 in free cabs for Microsoft fans. Lyft strikes back at uber with promo code CHIC for free ride credit. Superb deal.|v=8.26,a=5.15,d=6.35,hit=2,key=free-free
761348160203558912|20160804194841|@SocialEmbryo|@SurfaceSupport I've been trying for months to get microsoft to return my surface book charger and surface pen. I'm sorry for sending them!|v=5.72,a=4.17,d=5.3,hit=1,key=book
761348043434172421|20160804194813|@creature124|the fact that the acronym for the microsoft monitoring suite used to be 'MOM' brings me no end of joy|v=8.6,a=7.22,d=6.28,hit=1,key=joy
761347950157045760|20160804194751|@FitbitSupport|@AlexandreManaia 2/2 Microsoft and Fitbit are working together to bring a solution to our shared consumers. Hope you're doing great!|v=7.05,a=5.44,d=5.52,hit=1,key=hope
761347944645812225|20160804194749|@tedreally|@Microsoft . We're the questions weak?. When are you going to fix mail and accounts in 10?. My laptop is still not working properly.|v=6.88,a=5.63,d=5.67,hit=1,key=mail
761347823480803332|20160804194720|@WNN_Dash2|Microsoft replaced its toy gun emoji with a real revolver (#wnn2) . Microsoft this week replaced a toy gun emoji with a real revolver in an …|v=4.98,a=6.04,d=4.85,hit=6,key=toy-gun-revolver-toy-gun-revolver
761347614402936832|20160804194631|@jpdanner|Honestly @Microsoft. Don't tell me Classic Shell is incompatible - it worked fine on previous versions of Win 10.|v=8.38,a=7.72,d=7.39,hit=1,key=win
761347543896907778|20160804194614|@Jerry148|@killmefam @verge good 2 see Microsoft supporting Americans' 12th amendment rights. Still not switching to Windows 10 tho|v=7.47,a=5.43,d=6.41,hit=1,key=good
761347536925765633|20160804194612|@RanjeewaR|@Microsoft Will you'll be releasing major updates like the anniversary update in the next couple of months? Or small updates in phases?|v=7.41,a=6.39,d=6.02,hit=1,key=couple
761347298525720576|20160804194515|@wolfman1360|@ratking1989 @lprazdnik I really don't know what to think at this point. I like that microsoft was doing the free upgrade extender, but|v=8.26,a=5.15,d=6.35,hit=1,key=free
761347252971384833|20160804194504|@Pra1rieDog|Microsoft legit fucked my computer back to the Stone Age of computing|v=6.24,a=4.75,d=5.29,hit=1,key=computer
761347040349655044|20160804194414|@ayyjqce|@verge @iFlipsful respect to microsoft|v=7.64,a=5.19,d=6.89,hit=1,key=respect
761346988268883968|20160804194401|@Arnold_Walnuts|Rem say he kno all secrits about walnut and so he take me bak to his home at Microsoft®|v=7.91,a=4.21,d=5.9,hit=1,key=home
761346834488975360|20160804194325|@BaileyB45891361|Retail ibm machine infirmary-ricercar vouching on-the-job training courses modern microsoft mcse yale mcsa exa...|v=5.09,a=3.82,d=5.23,hit=1,key=machine
761346806294818816|20160804194318|@prostrovsky|@verizon @MetroPCS @sprint @ATT @Microsoft after reading this document from the court my image is sour of you for working with them|v=3.93,a=5.1,d=4.64,hit=1,key=sour
761346509883346944|20160804194207|@kidamasaomis|holy shit microsoft i love you|v=8.72,a=6.44,d=7.11,hit=1,key=love
761346416425906176|20160804194145|@0kbps|i changed my mind about microsoft i lvoe microsoft|v=6.68,a=5,d=6.37,hit=1,key=mind
761346236628676608|20160804194102|@TheGreyEstates|@microsoft_saint @lisaprank these honestly terrified me as a child.|v=1.72,a=7.86,d=3.08,hit=1,key=terrified
761346065928945664|20160804194021|@Powercord500|@Microsoft can i please have a job at the dadeland mall microsoft store. I'm good at computing i can prove it|v=7.47,a=5.43,d=6.41,hit=1,key=good
761345976049082368|20160804194000|@dryborg|Is Platinum Mad a stage of anger that only 2 games shown off at Microsoft conference so far|v=2.38,a=7.23,d=5.7,hit=2,key=mad-anger
761345236358537216|20160804193704|@DycVK5Q0TX2d7It|I just completed the Teaching with Technology (basics): Lesson 4 - Part 3: Summary & Quiz  course on the Microsoft Educator Community|v=5.11,a=3.82,d=4.75,hit=1,key=part
761345047631695872|20160804193619|@Sorgatron|@MargeeKerr also upset.  Microsoft is why we can't have nice things.  I'm goojg@back to straight Gcal.|v=6.55,a=4.38,d=5.58,hit=1,key=nice
761344632051695618|20160804193440|@fuckoffbeth|So Microsoft word can auto save as I write but as soon as I want to manually save it suddenly can't save|v=6.45,a=4.95,d=6,hit=3,key=save-save-save
761344581795401728|20160804193428|@mmmaaatttttt|@KristinaHorner Hey Kristina! I'm working on a book w/ @PrincetonUPress about math + video games. Trying to contact someone @Microsoft (1/2)|v=5.72,a=4.17,d=5.3,hit=1,key=book
